,Unnamed: 0.1,Unnamed: 0,question,reference-text,approach-1-text,approach-1-score,approach-2-text,approach-2-score,approach-3-text,approach-3-score
0,0,0,How has the demand for long distance trains changed since the pre-Covid era?,"Compared to the demand in the pre-Covid era, the demand for long distance trains has increased slightly. With 45.5 billion passenger-kilometers 2023 the highest volume sold for long distance trains, higher than in 2019, which was the year with the most long dinstance train demand in the pre-Covid era with 44.2 billion passegner-kilometers. The development of the volume sold of long distance trains shows a growth after a drop in the Covid years, with the volume sold in 2023 being 9% higher than in the previous year. In total, the demand has recovered after the Covid years and even slightly increased compared to the pre-Covid years.","The demand for long-distance trains has increased since the pre-Covid era. This is evident from the volume sold (in billion passenger kilometers or bn pkm) in long-distance transport as shown in the first image:

- In 2019 (pre-Covid), the volume sold was 44.2 bn pkm.
- In 2023 (post-Covid), the volume sold increased to 45.5 bn pkm.

This indicates a growth in demand, as the volume sold in 2023 (post-Covid) is higher than the volume sold in 2019 (pre-Covid). Additionally, the first image highlights a 9.0% increase in volume development from 2022 to 2023, further supporting the growth in demand for long-distance transport.",0.5982142857142857,"The images indicate a significant improvement in long-distance rail performance. Specifically, the long-distance passenger kilometers (pkm) have increased by 9.0%, from 41.7 billion pkm in 2022 to 45.5 billion pkm in 2023. This suggests a substantial growth in demand for long-distance trains since the pre-Covid era, highlighting a recovery and possibly an increase in passenger usage post-pandemic.",0.5384615384615384,"Based on the given data, the demand for long-distance trains has seen significant changes from the pre-Covid era to the present post-Covid era.

### Pre-Covid Era:
- **2017**: 40.5 billion passenger-kilometers (bn pkm)
- **2018**: 42.8 bn pkm (a +5.6% increase from 2017)
- **2019**: 44.2 bn pkm (a +3.1% increase from 2018)

This data shows a steady year-on-year increase in demand for long-distance train travel from 2017 to 2019.

### Post-Covid Era:
- **2022**: 41.7 bn pkm
- **2023**: 45.5 bn pkm (a +9.0% increase from 2022)

Here, there is a notable recovery and growth in demand for long-distance train travel post-Covid, with the volume surpassing pre-Covid levels.

### Comparative Analysis:
- **2019** (Pre-Covid): 44.2 bn pkm
- **2022** (Post-Covid): 41.7 bn pkm (still slightly below 2019 levels)
- **2023** (Post-Covid): 45.5 bn pkm (exceeding 2019 levels)

From the data, it is clear that the demand for long-distance trains has not only recovered to pre-Covid levels by 2023 but has actually increased beyond those levels. The trend shows a robust recovery with a significant growth rate in 2023.",0.3469387755102041
1,1,1,How has DB Schenkers adjusted EBIT developed in the last years?,"In the years 2018 to 2022 DB Schenker's adjusted EBIT strictly grew from 503 million euros in 2018 to 1.841 billion euros in 2022. However, after 2022 the adjusted EBIT descreased significantly to 1.129 billion euros in 2023 - a 712 million euro drop in that year.","DB Schenker's adjusted EBIT has shown significant fluctuations over the past years. Here is the development from 2018 to 2023:

- **2018:** €503 million
- **2019:** €538 million
- **2020:** €711 million
- **2021:** €1,248 million
- **2022:** €1,841 million
- **2023:** €1,129 million

From 2018 to 2021, DB Schenker's adjusted EBIT showed a steady increase. The most notable rise occurred between 2020 and 2021, with EBIT almost doubling. However, in 2022, there was another significant increase, reaching a peak of €1,841 million. In 2023, the adjusted EBIT declined to €1,129 million, although this is still more than double the pre-COVID level of 2019.",0.2830188679245283,"DB Schenker's adjusted EBIT has shown the following trend over recent years:

- **2018**: €503 million
- **2019**: €538 million
- **2020**: €711 million
- **2021**: €1,248 million
- **2022**: €1,841 million
- **2023**: €1,129 million

In 2023, DB Schenker’s adjusted EBIT declined to €1,129 million from €1,841 million in 2022. Despite this decline, the adjusted EBIT in 2023 remained significantly higher than the pre-COVID levels of 2018 and 2019. The decrease in 2023 was largely influenced by the normalization of freight rates and other external cost pressures, as well as a significant drop in volumes for air freight and continued falling ocean freight rates.",0.2990654205607476,"DB Schenker's adjusted EBIT has shown significant growth from 2018 to 2022, followed by a decline in 2023. Here is the detailed development:

- **2018:** €503 million
- **2019:** €538 million (an increase of €35 million from 2018)
- **2020:** €711 million (an increase of €173 million from 2019)
- **2021:** €1,248 million (an increase of €537 million from 2020)
- **2022:** €1,841 million (an increase of €593 million from 2021)
- **2023:** €1,129 million (a decrease of €712 million from 2022)

Despite the decline in 2023, the adjusted EBIT in 2023 (€1,129 million) is still more than double the pre-Covid level of 2018 (€503 million). The decrease in 2023 can be attributed to factors like falling ocean freight rates and a drop in air freight volumes.",0.25984251968503935
2,2,2,How is the punctuality of long distance trains expected to develop for 2024?,"The punctuality of long distance trains is expected to be at 70% in 2024, an increase of 6 percentage points compared to the actual punctuality of 64% in 2023. ","Based on the information in the images, the punctuality of long-distance trains is forecasted to improve in 2024. Specifically, it is expected to increase to approximately 70%, up from 64.0% in 2023.",0.5294117647058824,"The punctuality of long-distance trains at Deutsche Bahn (DB) is expected to improve in 2024. The actual punctuality for 2023 was 64.0%, and the forecast for 2024 is approximately 70%, indicating a projected increase of 6 percentage points. This improvement is expected due to several key measures planned for 2024, including:

1. Reduction of slow speed locations.
2. Increasing stability in construction.
3. Renovation of the Riedbahn (Frankfurt-Mannheim).
4. Management of bottlenecks, such as those in high-volume central stations.",0.3132530120481928,"The punctuality of DB Long-Distance trains is expected to improve significantly in 2024. The forecast indicates a ~6% increase in punctuality, bringing the percentage to approximately 70%. This improvement is anticipated due to several key measures planned for 2024, including the reduction of slow speed locations, increasing stability in construction processes, the renovation of the Riedbahn (Frankfurt-Mannheim), and better management of bottlenecks at high-volume central stations.",0.3188405797101449
3,3,3,How has the state funding for rail infrastructure changed in the last ten years?,"In the last ten years, the government funding for rail infrastructure increased by around 255%. While in 2014 this funding equaled to 4.9 billion euros, this amount has risen to more than 17 billion euros in 2024 - an increase of more than 12 billion euros. In these ten years, the fundings generally have slowly risen until 2023, when the state funding for rail infrastructure was at around 10.7 billion euros. The highest jump happened from 2023 to 2024, which showed an increase of more than 6.3 billion euros. This increase is higher than the increase in the previous nine years in total.","Based on the information in the images, state funding for rail infrastructure has increased significantly over the last ten years. In 2014, the funding was €4.9 billion, and by 2023, it had risen to €10.7 billion. The projected funding for 2024 is over €17 billion, indicating a substantial increase of 255% (an increase of more than €12 billion) compared to 2014 levels.",0.734375,"Based on the information provided in the images, state funding for rail infrastructure has significantly increased in the last ten years, particularly in the 2024 Federal budget:

1. **2024 Federal Budget Increase**:
   - Total funding of more than €17 billion is provided for rail (infrastructure and freight transport).
   - This represents an increase of €7 billion (+71%) compared to the 2023 Federal budget, with €4.375 billion in the form of an additional capital increase.

2. **Additional Financing for 2024-2027**:
   - An additional financing of at least €24 billion is provided for rail in the current finance plan until 2027, as stated in the 2024 Federal budget.

3. **Support for Single Wagon Transport**:
   - Approximately €300 million per annum is allocated to support single wagon transport.

These points collectively indicate a substantial increase in state funding for rail infrastructure in recent years, particularly marked by the 2024 Federal budget.",0.4041095890410959,"Over the last ten years, state funding for rail infrastructure has seen a significant increase. The funding figures from 2014 to 2024 demonstrate a steady rise, with the most substantial increase projected for 2024. Here are the key points:

- **2014**: €4.9 billion
- **2015**: €5.7 billion
- **2016**: €6.3 billion
- **2017**: €7.9 billion
- **2018**: €7.5 billion
- **2019**: €7.6 billion
- **2020**: €9.8 billion
- **2021**: €10.6 billion
- **2022**: €10.3 billion
- **2023**: €10.7 billion
- **2024**: Greater than €17 billion

The funding increased from €4.9 billion in 2014 to more than €17 billion in 2024, which represents an increase of more than €12 billion over this period, equating to a +255% increase. This significant rise highlights the government's commitment to enhancing rail infrastructure.",0.46511627906976744
4,4,4,What is the percentage of renewable energies in the DB traction current mix?,"In 2020, 61.4% of the DB traction current mix in Germany was made up of renewable energies.",The percentage of renewable energies in the DB traction current mix in 2023 is 68%.,0.6666666666666666,The percentage of renewable energies in the DB traction current mix for 2023 is 68%.,0.6,The percentage of renewable energies in the DB traction current mix in 2023 is 68%.,0.6666666666666666
5,5,5,How much less emissions are there relatively for passenger train transport compared to bus transport?,"Passenger transport via train in Germany emits 1 gram of CO2 per passenger-kilometer, whereas passenger transport via bus in Germany emits 31 grams of CO2 per passenger-kilometer. This means that passenger transport via bus generates around 310% more emissions per passenger-kilometer compared to passenger trasnport via train.","Based on the information in the first image, the emissions for passenger train transport are 1 g CO₂e/pkm, while for bus transport, it is 31 g CO₂e/pkm. To find out how much less emissions there are relatively for passenger train transport compared to bus transport:

1. Calculate the absolute difference in emissions:
   \( 31 \, \text{g CO₂e/pkm (bus)} - 1 \, \text{g CO₂e/pkm (train)} = 30 \, \text{g CO₂e/pkm} \)

2. Calculate the relative difference as a percentage:
   \[
   \left( \frac{30 \, \text{g CO₂e/pkm}}{31 \, \text{g CO₂e/pkm}} \right) \times 100 = 96.77\%
   \]

Therefore, passenger train transport produces approximately 96.77% less emissions compared to bus transport.",0.1452991452991453,"Based on the information provided in the images:

- Passenger train transport emits 1 gram of CO₂ equivalent per passenger-kilometer (g CO₂e/pkm).
- Bus transport emits 31 grams of CO₂ equivalent per passenger-kilometer (g CO₂e/pkm).

To find out how much less emissions there are relatively for passenger train transport compared to bus transport, we use the following calculation:

1. Calculate the difference in emissions:
   31 g CO₂e/pkm (bus) - 1 g CO₂e/pkm (train) = 30 g CO₂e/pkm

2. Calculate the relative reduction:
   (30 g CO₂e/pkm reduction / 31 g CO₂e/pkm bus emissions) * 100% = 96.77%

So, passenger train transport produces approximately 96.77% less emissions compared to bus transport.",0.2416666666666666,"Passenger train transport emits 1 gram of CO₂ equivalent per passenger-kilometer (g CO₂e/pkm), while bus transport emits 31 grams of CO₂ equivalent per passenger-kilometer. To find out how much less emissions there are relatively for passenger train transport compared to bus transport, we can use the following formula:

\[ \text{Relative reduction} = \left( \frac{\text{Emissions}_{\text{bus}} - \text{Emissions}_{\text{train}}}{\text{Emissions}_{\text{bus}}} \right) \times 100 \]

Plugging in the values:

\[ \text{Relative reduction} = \left( \frac{31 - 1}{31} \right) \times 100 \]

\[ \text{Relative reduction} = \left( \frac{30}{31} \right) \times 100 \]

\[ \text{Relative reduction} \approx 96.77\% \]

Therefore, passenger train transport emits approximately 96.77% less CO₂ equivalent per passenger-kilometer compared to bus transport.",0.256198347107438
6,6,6,How is the current debt coverage of DB compared to it's target debt coverage?,"DB's debt coverage in 2023 equalled 5.2%, which is significantly lower than the target debt coverage of at least 20%.","According to the first image, the current debt coverage of DB in 2023 is 5.2%, which is significantly below its target debt coverage of ≥20%.",0.6153846153846154,"The current debt coverage of DB is 5.2%, as shown for the year 2023. This is significantly below its target debt coverage of ≥20%.",0.56,"The current debt coverage of Deutsche Bahn AG (DB) is 5.2% for the year 2023. This is significantly below the target debt coverage, which is indicated to be greater than or equal to 20%. Therefore, DB's current debt coverage is well below its target.",0.391304347826087
7,7,7,How has the usage of rail freight developed compared to the usage of regional trains in 2022 and 2023?,"The usage of rail freight has declined around 11.9% from 84.5 billion ton-kilometers in 2022 to 74.5 billion ton-kilometers in 2023. Compared to that, the usage of regional trains has risen around 7.9% from 34.8 billion passenger-kilometers in 2022 to 37.5 billion passenger-kilometers in 2023. In total, freight train usage has declined 11.9%, while regional train usage has increased by 7.9%.","Based on the information provided in the images:

- The market share of rail freight transport has decreased from 46% in 2022 to 42% in 2023, showing a decline of 4 percentage points.
- The market share of regional rail transport has decreased from 62% in 2022 to 60% in 2023, showing a decline of 2 percentage points.

Thus, the usage of rail freight has decreased more significantly compared to the usage of regional trains between 2022 and 2023.",0.4155844155844156,"Based on the provided images and the information within them, the development of rail freight usage compared to the usage of regional trains in 2022 and 2023 can be summarized as follows:

1. **Usage Trends:**
   - **Rail Freight:**
     - There was a significant decline in rail freight usage. The performance indicator for rail freight shows a decrease from 84.5 billion ton-kilometers (tkm) in 2022 to 74.5 billion tkm in 2023, representing an 11.9% decrease.
   - **Regional Trains:**
     - In contrast, regional train usage increased. The performance indicator for regional trains shows an increase from 34.8 billion passenger-kilometers (pkm) in 2022 to 37.5 billion pkm in 2023, representing a 7.9% increase.

2. **Revenue Impact:**
   - **Rail Freight:**
     - The revenue for DB Cargo (responsible for freight transport) increased slightly, from €4,998 million in 2022 to €5,279 million in 2023, representing a 5.6% increase. However, this increase in revenue does not align with the decline in ton-kilometers, indicating possible higher rates or other factors influencing revenue.
   - **Regional Trains:**
     - The revenue for DB Regional (responsible for regional passenger transport) increased from €8,921 million in 2022 to €9,536 million in 2023, representing a 6.9% increase. This aligns with the increase in passenger-kilometers.

3. **Market Share:**
   - **Rail Freight:**
     - The market share for rail freight transport decreased by 4 percentage points from 2022 to 2023, dropping from 46% to 42%.
   - **Regional Trains:**
     - The market share for regional rail transport decreased by 2 percentage points from 2022 to 2023, dropping from 62% to 60%.

4. **Infrastructure Usage:**
   - The overall infrastructure usage in terms of train-path kilometers decreased slightly by 1.3%, indicating a slight reduction in the overall train activity.

In summary, while regional train usage and revenue have shown growth from 2022 to 2023, rail freight usage has declined significantly, although its revenue has increased slightly. The market share for both rail freight and regional rail transport has decreased.",0.2006172839506173,"In 2022 and 2023, the usage of rail freight and regional trains developed in opposite directions. 

### Rail Freight Usage:
- **2022**: 84.5 billion ton-kilometers (bn tkm)
- **2023**: 74.5 billion ton-kilometers (bn tkm)
- **Change**: There was a decline of 11.9% (a reduction of 10.0 bn tkm).

### Regional Train Usage:
- **2022**: 34.8 billion passenger kilometers (bn pkm)
- **2023**: 37.5 billion passenger kilometers (bn pkm)
- **Change**: There was an increase of 7.9% (+2.7 bn pkm).

### Summary:
- **Rail Freight**: Experienced a significant decline in usage, decreasing by 11.9%.
- **Regional Trains**: Saw an increase in usage, growing by 7.9%.

Thus, while regional train usage increased in 2023 compared to 2022, rail freight usage saw a notable decrease during the same period.",0.47244094488188976
8,8,8,How high was DB's net loss in 2023 compared to 2022?,"In 2023, DB's net loss was around 2 billion euros. This means a 1.9 billion euro growth of net loss compared to 2022, when the net loss only was around 0.1 billion euros.","In 2023, Deutsche Bahn's net loss was €2.351 billion, compared to a net loss of €227 million in 2022. This represents an increase in net loss of €2.124 billion.",0.59375,"In 2023, Deutsche Bahn AG (DB) experienced a significant profit deterioration, resulting in a net loss of -€2.2 billion, compared to a profit of €1.2 billion in 2022. This represents a decline of €3.4 billion in their net financial performance from the previous year.",0.3829787234042553,"DB's net loss in 2023 was €2,351 million, compared to a net loss of €227 million in 2022. This represents an increase in net loss by €2,124 million from 2022 to 2023.",0.5142857142857142
9,9,9,What was the highest amount of new hires in DB and when was that?,"The highest amount of new hires in DB was in 2023, with 28193 new hires.","The highest amount of new hires in Deutsche Bahn (DB) was 28,193 in the year 2023.",0.6470588235294118,"The images provided do not contain information regarding the highest amount of new hires in Deutsche Bahn (DB). The data shown focuses on the proportion of women in leadership roles and related metrics, but does not include details about new hires.",0.2682926829268293,"The highest amount of new hires in Deutsche Bahn (DB) was in 2023, with a total of 28,193 new hires.",0.6666666666666666
